FECHA,PREDICCION_AGUA,ID_EMBALSE
2024-11-01,51.946671951645015,18
2024-12-01,51.94461777569938,18
2025-01-01,51.94249512722221,18
2025-02-01,51.94037247874505,18
2025-03-01,51.93845524786245,18
2025-04-01,51.93633259938529,18
2025-05-01,51.93427842343964,18
2025-06-01,51.93215577496248,18
2025-07-01,51.93010159901684,18
2025-08-01,51.927978950539675,18
2025-09-01,51.92585630206251,18
2025-10-01,51.92380212611687,18
2024-11-01,32.2998473709481,19
2024-12-01,32.3686961602275,19
2025-01-01,32.43983990914944,19
2025-02-01,32.51098365807138,19
2025-03-01,32.57524252806547,19
2025-04-01,32.646386276987414,19
2025-05-01,32.715235066266814,19
2025-06-01,32.78637881518898,19
2025-07-01,32.855227604468155,19
2025-08-01,32.92637135339032,19
2025-09-01,32.99751510231226,19
2025-10-01,33.066363891591664,19
2024-11-01,12.541937694665558,22
2024-12-01,12.542997918511839,22
2025-01-01,12.544093483152993,22
2025-02-01,12.545189047794151,22
2025-03-01,12.546178590050678,22
2025-04-01,12.547274154691832,22
2025-05-01,12.548334378538113,22
2025-06-01,12.549429943179268,22
2025-07-01,12.550490167025549,22
2025-08-01,12.551585731666703,22
2025-09-01,12.552681296307858,22
2025-10-01,12.553741520154139,22
2024-11-01,39.82523924331406,71
2024-12-01,39.866664772038575,71
2025-01-01,39.90947115172071,71
2025-02-01,39.95227753140284,71
2025-03-01,39.99094135821247,71
2025-04-01,40.0337477378946,71
2025-05-01,40.07517326661923,71
2025-06-01,40.117979646301364,71
2025-07-01,40.15940517502588,71
2025-08-01,40.202211554708015,71
2025-09-01,40.24501793439015,71
2025-10-01,40.28644346311478,71
2024-11-01,38.706259881278115,72
2024-12-01,38.70140052259103,72
2025-01-01,38.69637918528103,72
2025-02-01,38.691357847971034,72
2025-03-01,38.686822446529746,72
2025-04-01,38.68180110921975,72
2025-05-01,38.67694175053265,72
2025-06-01,38.67192041322265,72
2025-07-01,38.667061054535566,72
2025-08-01,38.66203971722557,72
2025-09-01,38.65701837991557,72
2025-10-01,38.652159021228485,72
2024-11-01,128.25731432811347,121
2024-12-01,128.26216712386815,121
2025-01-01,128.26718167948133,121
2025-02-01,128.2721962350945,121
2025-03-01,128.27672551113218,121
2025-04-01,128.28174006674533,121
2025-05-01,128.28659286250002,121
2025-06-01,128.2916074181132,121
2025-07-01,128.29646021386787,121
2025-08-01,128.30147476948105,121
